Solvent,Inchikey,Smiles,canonical_smiles,protonation_state,n_F,n_CF3,n_CF2,fluorination_ratio,mw,dipole_moment_debye,gibbs_free_energy_Eh,enthalpy_Eh,homo_lumo_gap_alpha_Eh,homo_lumo_gap_beta_Eh,homo_lumo_gap_eV,oxidation_potential_V_vs_SHE,reduction_potential_V_vs_SHE,logKow,logKaw,is_charged_logp_table,headgroup,n_CF,is_open_shell,has_imaginary
DMSO,ADCCZKQKPVGCGJ-UHFFFAOYSA-N,[H]N([H])S(=O)(=O)C(F)(F)C(F)(F)[C](F)F,NS(=O)(=O)C(F)(F)C(F)(F)[C](F)F,neutral,6,0,3,1.0,230.10899999999995,5.461516442,-1317.9216680247107,-1317.8689327819432,0.410893,0.408411,,,,,,,,0,True,False
DMSO,ADQRHLTXZPZLHA-UHFFFAOYSA-N,[H]N(C([H])([H])C([H])([H])[H])S(=O)(=O)C(F)(F)F,CCNS(=O)(=O)C(F)(F)F,neutral,3,1,0,0.375,177.14699999999996,6.372864775,-1020.8052316262144,-1020.7578498432898,,,12.297560151990618,,,0.1533833897608633,-5.231774308063351,False,Sulphonate,0,False,False
DMSO,ADTVLQWGQXEXFM-UHFFFAOYSA-N,[H]O[C]1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,O[C]1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,neutral,10,0,5,1.0,279.05299999999994,3.339931595,-1302.9588177520802,-1302.9023314768644,0.391776,0.43194200000000005,,,,,,,,0,True,False
DMSO,ADZMHMYIZFGZAT-UHFFFAOYSA-M,O=C([O-])C(F)(OC(F)(F)F)[C](F)F,O=C([O-])C(F)(OC(F)(F)F)[C](F)F,neutral,6,1,1,1.0,210.02899999999997,7.688728141,-977.3656495897444,-977.3146334881473,0.401875,0.346564,,,,,,,,1,True,False
DMSO,ADZMHMYIZFGZAT-UHFFFAOYSA-N,[H]OC(=O)C(F)(OC(F)(F)F)[C](F)F,O=C(O)C(F)(OC(F)(F)F)[C](F)F,neutral,6,1,1,1.0,211.03699999999998,2.657493746,-977.8041457495044,-977.7527831290816,0.412049,0.400478,,,,,,,,1,True,False
DMSO,AEJDRTQXZURHMG-UHFFFAOYSA-M,O=C([O-])[C](F)C(F)(OC(F)(F)F)C(F)(F)F,O=C([O-])[C](F)C(F)(OC(F)(F)F)C(F)(F)F,neutral,8,2,0,1.0,260.03599999999994,12.474600108,-1215.1889026672077,-1215.1324771170553,0.38538399999999995,0.32854300000000003,,,,,,,,2,True,False
DMSO,AEMSBRSBIDALEW-UHFFFAOYSA-N,[H]O[C]([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,O[CH]CC(F)(F)C(F)(F)C(F)(F)F,neutral,7,1,2,0.7,213.07199999999997,4.576683336,-967.0825128888822,-967.0296325408764,0.33150199999999996,0.493426,,,,,,,,0,True,False
DMSO,AESXRSHGZWNQDJ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)C(F)(F)[C](F)F)C([H])([H])S(=O)(=O)[O-],O=S(=O)([O-])CCC(F)(F)C(F)(F)[C](F)F,neutral,6,0,3,0.6,258.139,15.761651269,-1415.992573425351,-1415.9351999918974,0.389,0.32372599999999996,,,,,,,,0,True,False
DMSO,AESXRSHGZWNQDJ-UHFFFAOYSA-N,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)[C](F)F,O=S(=O)(O)CCC(F)(F)C(F)(F)[C](F)F,neutral,6,0,3,0.6,259.14699999999993,3.967011493,-1416.4218584588828,-1416.363867978084,0.405399,0.41892,,,,,,,,0,True,False
DMSO,AEYFYGHQEQQDOH-UHFFFAOYSA-N,[H]c1[c]c(C(F)(F)F)c([H])c([H])c1C(F)(F)F,FC(F)(F)c1[c]cc(C(F)(F)F)cc1,neutral,6,2,0,0.6666666666666666,213.09999999999997,1.209074646,-905.7043407609816,-905.654073433704,0.394841,0.343939,,,,,,,,0,True,False
